product_name,price,image_url,web_url,gender,index_column,type,colors
Regular Fit Textured-knit Resort Shirt,$ 29.99,"https://lp2.hm.com/hmgoepprod?set=source[/e9/f1/e9f11ecea19b77b59b92db2a80ff4ad7274d667c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1207092001.html,male,19,Shirt,"{237,237,241}"
Loose Fit Half-zip Polo Sweater,$ 56.99,"https://lp2.hm.com/hmgoepprod?set=source[/3b/3b/3b3b7011abf9128f864b65e929db5ce829b85c26.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1207997001.html,male,20,Outerwear,"{229,230,226}"
Loose Fit Half-zip Polo Sweater,$ 56.99,"https://lp2.hm.com/hmgoepprod?set=source[/5b/e4/5be4c91fa705488551b796f5bbce99187293697b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1207997002.html,male,21,Outerwear,"{26,26,33}"
Regular Fit Bouclé-knit Sweater,$ 56.99,"https://lp2.hm.com/hmgoepprod?set=source[/b6/e8/b6e88d150570283402eeb508da293173ef06bbc0.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1222652001.html,male,22,Top,"{241,240,235}"
Regular Fit Twill Shacket,$ 34.99,"https://lp2.hm.com/hmgoepprod?set=source[/ee/ce/eecebcb9b045b304b3b3bb9806568b211ac514df.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1207069001.html,male,23,Top,"{49,42,44}"
Regular Fit Sweatshirt,$ 34.99,"https://lp2.hm.com/hmgoepprod?set=source[/1c/75/1c75b02fac159552f1ee441bcf75efc679764204.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1216498001.html,male,24,Top,"{39,37,48}"
Regular Fit Sweatshirt,$ 34.99,"https://lp2.hm.com/hmgoepprod?set=source[/e3/e8/e3e8f1aa58fa8e6b53e8597f5e3f6983070a7f9b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1216498003.html,male,25,Top,"{214,31,39}"
Regular Fit Polo Shirt,$ 36.99,"https://lp2.hm.com/hmgoepprod?set=source[/b9/d5/b9d5e76bf14c71684aa49a7f474f66ef4845072d.jpg],origin[dam],category[MEN_TSHIRTSTANKS_POLO],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1148164008.html,male,26,Top,"{238,238,237}"
Regular Fit Cardigan with Collar,$ 56.99,"https://lp2.hm.com/hmgoepprod?set=source[/49/c6/49c62026c68463a2ae875f6f8c49d0da06f80b4e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1209188001.html,male,27,Outerwear,"{25,26,37}"
Regular Fit Jersey Shirt,$ 34.99,"https://lp2.hm.com/hmgoepprod?set=source[/a3/67/a3678a3ecbfdfa5fc2e6d80fb7c880f3068ff2e8.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1216500001.html,male,28,Top,"{245,245,245}"
Regular Fit Car Coat,$ 84.99,"https://lp2.hm.com/hmgoepprod?set=source[/ba/b1/bab115dbe24aafeb5c9661375a97eaeced95aab0.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1208303002.html,male,29,Outerwear,"{220,209,191}"
Regular Fit Waffled Shirt,$ 54.99,"https://lp2.hm.com/hmgoepprod?set=source[/98/d1/98d1104c059cf808ff42e0d638a7e66bd7f4ea14.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1216640002.html,male,30,Outerwear,"{239,239,231}"
Regular Fit Polo Shirt,$ 36.99,"https://lp2.hm.com/hmgoepprod?set=source[/61/e5/61e5e0e020e8318f63b941ffa43fab7019f01a2c.jpg],origin[dam],category[MEN_TSHIRTSTANKS_POLO],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1148164009.html,male,31,Top,"{23,22,32}"
Cotton Cap with Embroidery,$ 12.99,"https://lp2.hm.com/hmgoepprod?set=source[/37/8f/378f2e3d6411c2098ab8b3a9ab68e1ad09d783c1.jpg],origin[dam],category[men_accessories_hatscaps_caps],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1048567032.html,male,32,Hat,"{40,41,51}"
Slim Fit Textured-knit Polo Shirt,$ 36.99,"https://lp2.hm.com/hmgoepprod?set=source[/c8/46/c84671c016c87935e50f221207f1efb3d54a59b4.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1219129002.html,male,33,Top,"{20,20,22}"
Slim Fit Joggers,$ 34.99,"https://lp2.hm.com/hmgoepprod?set=source[/9d/09/9d09be2d7839294e7c6b5605304aead582933c6c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1195936001.html,male,34,Pants,"{27,26,26}"
Regular Fit Hole-knit Sweater,$ 56.99,"https://lp2.hm.com/hmgoepprod?set=source[/21/93/2193844d2a4c080c44c0e2786efae3ad84bfc83c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1209260001.html,male,35,Top,"{240,236,226}"
Straight Regular Jeans,$ 39.99,"https://lp2.hm.com/hmgoepprod?set=source[/e8/bc/e8bcd03a9e1231b3303bccedc7a684b2284acda4.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1215263001.html,male,36,Pants,"{241,240,236}"
Regular Fit Shirt,$ 34.99,"https://lp2.hm.com/hmgoepprod?set=source[/7a/54/7a544ef180da676ee2a9518290c777868407cdd3.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1211263004.html,male,37,Top,"{219,221,220}"
Slim Fit Textured-knit Polo Shirt,$ 36.99,"https://lp2.hm.com/hmgoepprod?set=source[/33/51/3351137e30732bd0daa48c50075f2c5465fbfa9f.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1219129003.html,male,38,Top,"{123,125,120}"
Regular Fit Shirt,$ 34.99,"https://lp2.hm.com/hmgoepprod?set=source[/95/41/954157f63ed85776339a4d7ba8384629d58bf7f4.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1211263003.html,male,39,Outerwear,"{239,232,222}"
Regular Fit Twill Shirt,$ 39.99,"https://lp2.hm.com/hmgoepprod?set=source[/94/f7/94f7f55ea5ed2a4a0697fab1617cf6e8ce54887e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1218137001.html,male,40,Top,"{33,31,41}"
Regular Fit Baseball Jacket,$ 84.99,"https://lp2.hm.com/hmgoepprod?set=source[/36/44/3644ec4452105a06693ade31d8e2220129881250.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1208294001.html,male,41,Outerwear,"{3,52,141}"
Slim Fit Dressy Joggers,$ 39.99,"https://lp2.hm.com/hmgoepprod?set=source[/80/ac/80ac5951a056ede05620372319e5ddc2168bc663.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1219626001.html,male,42,Pants,"{24,24,24}"
Slim Fit Padded Jacket,$ 49.99,"https://lp2.hm.com/hmgoepprod?set=source[/70/03/7003667c75e2953de9c73ae17e08943d54138451.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1202396001.html,male,43,Outerwear,"{49,47,50}"
Regular Fit Scuba Hoodie,$ 54.99,"https://lp2.hm.com/hmgoepprod?set=source[/2c/83/2c83d557ef111a0c72323fdce4e3fe830d58a2c6.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1218068001.html,male,44,Outerwear,"{182,182,183}"
Relaxed Fit Denim Jacket,$ 67.99,"https://lp2.hm.com/hmgoepprod?set=source[/9d/91/9d91f3859c66b3318914246f0d11ec16eeaf890f.jpg],origin[dam],category[men_jacketscoats_denimjackets],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1130141010.html,male,45,Jacket,"{48,47,52}"
Regular Fit Scuba Sweatshirt,$ 39.99,"https://lp2.hm.com/hmgoepprod?set=source[/76/1b/761b71f8c32c7e671f354f5a4014841cd0650c69.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1219464001.html,male,46,Outerwear,"{207,207,205}"
Loose Fit Twill Overshirt,$ 59.99,"https://lp2.hm.com/hmgoepprod?set=source[/d0/34/d0343678eff0c7c0950902aec220d9f8314a34e5.jpg],origin[dam],category[men_jacketscoats_shirtjackets],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1195495003.html,male,47,Shirt,"{234,233,238}"
Sneakers,$ 56.99,"https://lp2.hm.com/hmgoepprod?set=source[/d9/60/d960b5161a1a8856a6c6186c3fbdda4c8b8cea5d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1208749001.html,male,48,Shoe,"{236,235,231}"
Cap,$ 16.99,"https://lp2.hm.com/hmgoepprod?set=source[/21/ee/21eeabd6cfb56e4c67d3e10e6efe40a84332eff1.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1217394001.html,male,49,Hat,"{41,41,44}"
Regular Fit Pattern-knit T-shirt,$ 36.99,"https://lp2.hm.com/hmgoepprod?set=source[/09/5c/095ce87b5626c859a21cc7b22b4e04260ad8dd4b.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1225509002.html,male,50,Top,"{207,189,173}"
Loose Fit Hoodie,$ 24.99,"https://lp2.hm.com/hmgoepprod?set=source[/14/15/1415e9d0690868d92b738312136eac0719cda9b0.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0970819074.html,male,51,Outerwear,"{38,41,68}"
Regular Fit Fine-knit Polo Shirt,$ 36.99,"https://lp2.hm.com/hmgoepprod?set=source[/88/e1/88e1ea0d8f847e2d8ffeee4f0b9b27effeb4f845.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1207911001.html,male,52,Top,"{30,24,23}"
Slim Fit Dressy Joggers,$ 39.99,"https://lp2.hm.com/hmgoepprod?set=source[/0d/eb/0deb1eea741c464de7da245a5efcae46bec2a1c0.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1211033002.html,male,53,Pants,"{31,29,35}"
Oversized Fit Printed Hoodie,$ 54.99,"https://lp2.hm.com/hmgoepprod?set=source[/3d/72/3d7249ccb1d62400c76901fb5903ee3e1dff177b.jpg],origin[dam],category[men_hoodiessweatshirts_hoodies],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1117750008.html,male,54,Outerwear,"{24,24,24}"
Oversized Fit Trench Coat,$ 119.00,"https://lp2.hm.com/hmgoepprod?set=source[/4d/0e/4d0e06d5ef2a931320ea0f1bbe76e2de25288ed0.jpg],origin[dam],category[men_jacketscoats_coats],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1221882001.html,male,55,Coat,"{46,41,42}"
Loose Fit Sweatshirt,$ 14.99,"https://lp2.hm.com/hmgoepprod?set=source[/96/83/968379bd3498d9d14141dbd04a23f8d0bfd4890c.jpg],origin[dam],category[men_hoodiessweatshirts_sweatshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0970818079.html,male,56,Outerwear,"{100,91,90}"
Slim Fit Dressy Joggers,$ 39.99,"https://lp2.hm.com/hmgoepprod?set=source[/a3/79/a37917138b74d3e9eec5ac1489233f99110ef826.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1211033001.html,male,57,Pants,"{179,160,138}"
Relaxed Fit Half-zip Sweatshirt,$ 34.99,"https://lp2.hm.com/hmgoepprod?set=source[/c8/7e/c87e8ae3f0a93b90f0369b2dd60cc77bc267ab44.jpg],origin[dam],category[men_hoodiessweatshirts_sweatshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1125749010.html,male,58,Outerwear,"{241,239,231}"
Regular Fit Linen-blend Shirt,$ 29.99,"https://lp2.hm.com/hmgoepprod?set=source[/f7/fc/f7fc4504943c0e170725142acbb5374d2c14f4c4.jpg],origin[dam],category[men_shirts_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0965257022.html,male,59,Top,"{32,32,34}"
Oversized Fit Printed T-shirt,$ 19.99,"https://lp2.hm.com/hmgoepprod?set=source[/57/63/57633543282de45747dea708347cc774b9d47e3d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1217039003.html,male,60,Top,"{237,237,235}"
Regular Fit Fine-knit Polo Shirt,$ 36.99,"https://lp2.hm.com/hmgoepprod?set=source[/1f/7b/1f7b1f7eabb1cdd2f52cdc881f2e5a8a5484ebaa.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1207911002.html,male,61,Top,"{244,242,240}"
Loose Fit Sweatshirt,$ 35.99,"https://lp2.hm.com/hmgoepprod?set=source[/c1/40/c1408257a6a0f1c71f825f0d2d2a6cdba67dd655.jpg],origin[dam],category[men_hoodiessweatshirts_sweatshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1117747035.html,male,62,Outerwear,"{72,73,83}"
Regular Fit Waffled Shirt,$ 54.99,"https://lp2.hm.com/hmgoepprod?set=source[/ea/93/ea93130e352e4fd1424ff49ce133a5a0dafce315.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1216640001.html,male,63,Shirt,"{37,41,58}"
Regular Fit Muslin Resort Shirt,$ 29.99,"https://lp2.hm.com/hmgoepprod?set=source[/9e/a4/9ea49af29985769daa3c78bd3045cf2b294c8171.jpg],origin[dam],category[men_shirts_casual],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1158017008.html,male,64,Top,"{244,242,234}"
Loose Fit T-shirt,$ 12.99,"https://lp2.hm.com/hmgoepprod?set=source[/13/c3/13c309c077993dd5b87535000a5feaebe8cad8c1.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1198328014.html,male,65,Top,"{29,27,32}"
Regular Fit Pattern-knit T-shirt,$ 36.99,"https://lp2.hm.com/hmgoepprod?set=source[/1f/9d/1f9d1704d882d3bd780c5666bd715d75e29231a2.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1225509001.html,male,66,Top,"{29,27,40}"
Regular Fit Hoodie,$ 34.99,"https://lp2.hm.com/hmgoepprod?set=source[/03/01/0301bf0870654592fb7e9a10f7d6bcae10f36621.jpg],origin[dam],category[men_hoodiessweatshirts_hoodies],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1103620012.html,male,67,Outerwear,"{242,241,234}"
Loose Fit Sweatshirt,$ 35.99,"https://lp2.hm.com/hmgoepprod?set=source[/dd/6e/dd6e29ea13ea518a2483e6e954fff9c0f51f9bb9.jpg],origin[dam],category[men_hoodiessweatshirts_sweatshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1117747028.html,male,68,Top,"{115,218,204}"
Loose Fit Hole-knit Cardigan,$ 56.99,"https://lp2.hm.com/hmgoepprod?set=source[/37/5f/375f636db4f51a0b0977b908ca4c85c3b5d89bc5.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1225690001.html,male,69,Outerwear,"{130,145,178}"
Loose Fit T-shirt,$ 19.99,"https://lp2.hm.com/hmgoepprod?set=source[/a1/67/a167824d23215874d11247904ba6b85a82b08b67.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0972640069.html,male,70,Top,"{250,230,231}"
Slim Jeans,$ 24.99,"https://lp2.hm.com/hmgoepprod?set=source[/75/ad/75ad0d9b8a6dc9bd85505cbc958163d9d80ea714.jpg],origin[dam],category[men_jeans_slim],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1024256012.html,male,71,Pants,"{221,226,229}"
Oversized Fit T-shirt,$ 24.99,"https://lp2.hm.com/hmgoepprod?set=source[/ed/3a/ed3a4111b3394484e87d9319e09ed106e3cab8de.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1159823030.html,male,72,Top,"{235,221,189}"
Loose Fit Hoodie,$ 24.99,"https://lp2.hm.com/hmgoepprod?set=source[/78/e3/78e3ce09b09a12787a2ade3dffa4982897ba3c34.jpg],origin[dam],category[men_hoodiessweatshirts_hoodies],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0970819083.html,male,73,Outerwear,"{233,195,115}"
Loose Fit Sweatshirt,$ 14.99,"https://lp2.hm.com/hmgoepprod?set=source[/a6/a6/a6a6fca5d8788d6e090b8b404db49b164cfe0ade.jpg],origin[dam],category[men_hoodiessweatshirts_sweatshirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0970818084.html,male,74,Outerwear,"{200,196,210}"
Regular Fit Bouclé Jersey Shirt,$ 54.99,"https://lp2.hm.com/hmgoepprod?set=source[/75/80/7580a9caeeebe23f04bacd8cc0a5a4f61d07db36.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1225867001.html,male,75,Outerwear,"{28,28,37}"
Regular Fit Jersey Jacket,$ 54.99,"https://lp2.hm.com/hmgoepprod?set=source[/14/00/1400873edc2b7df157fbde6822811a4603551140.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.1223184001.html,male,76,Outerwear,"{34,32,45}"
